Gx,Gy,Gz
225,128,35
266,161,37.5
304,182,35.9
336,205,34.8
371,228,32.1
394,247,31.8
413,266,33.1
436,286,33.2
455,307,32.5
476,325,31.6
494,344,32.1
521,366,32.4
548,387,29.2
571,408,27.7
591,430,26.7
612,449,25
632,475,24.2
653,495,23.3
672,513,21.7
690,534,18.6
703,523,16.1
683,502,18.4
663,484,20.1
645,462,21
622,440,22.6
603,420,22.9
582,398,23.9
559,375,25.5
534,355,27.3
509,336,28.4
488,316,27.9
467,299,28.9
448,279,29.2
428,258,28.5
406,240,28.6
383,219,28.3
349,194,29.9
319,171,31
281,150,33.7
239,116,30.9
251,106,27.2
295,141,29.3
330,164,27.2
362,189,26.1
396,212,24.3
416,232,25
438,252,25
459,271,25.1
478,292,25.4
500,309,24.2
522,328,24.4
546,348,23.7
568,367,22.4
590,392,21.3
616,412,19.4
631,432,20
654,452,18.3
673,474,17.4
694,493,15.4
716,513,13.6
723,505,11.6
703,484,12.8
681,466,15.1
662,445,16.2
640,425,17.4
623,406,17.4
600,383,18
577,361,19.5
556,342,20.6
534,325,21.5
510,301,20.7
488,285,21.8
469,266,21.9
449,247,21.8
428,226,21.4
406,207,21.4
375,181,21.6
343,155,22.7
309,132,24.9
262,93,23
